"caseid_new","w2_section","w1_partyid7","w1_ppc10017","w1_ppp20071","w1_ppp20072","w1_ppagecat","w1_ppeducat","w1_ppethm","w1_ppRace_1","w1_ppRace_2","w1_ppRace_3","w1_ppRace_4","w1_ppRace_5","w1_ppRace_6","w1_ppgender","w1_pphhhead","w1_pphouse","w1_ppincimp_cat","w1_ppmarit","w1_ppmsacat","w1_PPREG4","w1_pprent","w1_PPT18OV","w1_ppwork","w1_xlgb","w1_partnership_status","w1_prior_identity_lgb","w1_same_sex_couple","w1_same_sex_couple_gender","w1_q4","w1_q5","w1_q6a","w1_q6b","w1_q9","w1_q10","w1_q11","w1_q12","w1_q14","w1_q16","w1_q17","w1_attraction","w1_identity_all","w1_q23","w1_otherdate_all","w1_married","w1_age_when_met","w1_time_from_met_to_rel","w1_subject_race","w1_partner_mother_yrsed","w1_subject_mother_yrsed","w1_partner_yrsed","w1_subject_yrsed","w1_either_internet_adjusted","w1_smart_phone","w1_children_in_hh"
730375,1,7,1,1,4,5,1,2,0,1,0,0,0,0,2,0,1,3,1,0,3,1,2,6,2,1,0,0,0,1,0,1,2,67,7,6,7,6,6,3,1,1,2,1,1,44,0,2,10,10,11,12,0,1,0
730391,1,3,2,2,2,7,2,1,1,0,0,0,0,0,1,1,1,2,1,0,3,1,2,2,2,1,0,0,0,2,0,1,1,76,10,3,4,2,3,1,1,1,1,1,1,19,0.5,1,5.5,2.5,13,12,0,0,0
731249,1,6,1,2,2,5,4,1,1,0,0,0,0,0,1,1,1,4,1,1,3,1,2,1,2,1,0,0,0,2,0,1,1,50,13,13,5,14,0,2,1,1,1,1,1,40,1.3333740234375,1,17,20,17,20,0,1,1
731629,1,2,1,-2,6,4,2,1,1,0,0,0,0,0,1,0,1,3,1,1,1,3,3,1,2,1,0,0,0,2,0,1,1,49,9,9,4,3,3,1,1,1,1,1,1,17,0.166748046875,1,12,5.5,12,12,0,1,0
733249,0,3,1,1,2,4,3,1,1,0,0,0,0,0,1,1,1,2,5,1,3,1,1,1,2,3,0,0,0,2,0,1,1,37,9,9,5,3,2,0,1,1,1,1,0,52,0,1,12,5.5,12,14,0,1,0
734689,1,1,1,-2,6,5,2,1,1,0,0,0,0,0,1,1,1,1,1,0,2,1,2,1,2,1,0,0,0,2,0,1,1,56,9,9,1,9,0,1,1,1,1,1,1,17,0,1,12,12,12,12,0,1,0
736409,0,3,1,2,4,2,4,1,1,0,0,0,0,0,1,1,1,3,5,1,3,1,2,1,2,2,0,0,0,2,0,1,1,23,12,12,4,11,0,0,1,1,1,1,0,27,0.1666259765625,1,16,14,16,16,0,1,0
744235,1,6,1,2,2,2,4,1,1,0,0,0,0,0,2,1,1,2,6,1,2,1,2,1,2,2,0,0,0,1,0,1,1,27,12,9,5,11,11,0,1,1,3,1,0,17,0,1,12,14,16,16,0,1,0
750887,1,5,1,-2,5,2,3,5,1,0,0,1,0,0,2,0,1,2,5,1,1,1,3,1,2,2,0,0,0,1,0,1,4,28,12,10,4,12,2,0,2,1,1,1,0,20,0,4,13,16,16,14,0,1,0
755761,1,1,1,1,6,4,3,5,1,0,1,0,0,0,2,1,1,3,1,1,3,1,3,7,2,1,0,0,0,1,0,1,1,52,12,9,3,10,2,2,1,1,3,1,1,20,0.583251953125,3,12,13,16,13,0,1,0
